id,name,email,age,year_of_study,shirt_size,university,dietary_restrictions,programming_skills,experience_level,hackathons_done,interests,preferred_role,interest_in_challenges,preferred_languages,friend_registration,preferred_team_size,availability,Tryhard,Learner,Rookie,Portfolio
7961223b-759b-43e9-b817-99f9d6878f46,Antoine Lefebvre.,antoine_lefebvre.@gmail.com,19,2nd year,L,École Polytechnique,None,"{'Docker': 3, 'Data Visualization': 4, 'SQL': 6, 'Python': 6, 'Natural Language Processing': 2, 'JavaScript': 7, 'React Native': 4, 'C++': 2}",Intermediate,2,"['Music/Art', 'AR/VR', 'Mobile', 'Quantum', 'IoT']",Visualization,"['Restb.ai Challenge', 'Mango Challenge', 'AED Challenge']",['French'],[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.0,0.0025504750865911027,0.0,0.015060634012978708
9fe09efc-d630-48c7-9a4d-f0cf09670a13,Ava Wynter,ava_wynter@outlook.com,19,1st year,M,Universitat Autònoma de Barcelona (UAB),None,"{'Rust': 1, 'Go': 4}",Beginner,0,"['AR/VR', 'E-commerce/Retail', 'Voice skills', 'Health', 'Blockchain', 'Music/Art']",Development,"['AED Challenge', 'Restb.ai Challenge', 'Mango Challenge']",['English'],[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.0,0.04324847896010831,0.07626989460180347,0.057946967818466755
b5af3cda-f580-4f90-a73a-4f13801dcc57,Sofia Rose Navarro,sofia_rose_navarro@gmail.com,19,2nd year,M,Universidad de Granada,None,"{'Blockchain': 4, 'PostgreSQL': 2, 'Computer Vision': 5, 'Python': 3, 'TypeScript': 6}",Intermediate,2,"['Education', 'Health', 'Quantum', 'IoT']",Design,"['Mango Challenge', 'AED Challenge', 'Restb.ai Challenge']","['English', 'Spanish']",[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.009953600713202993,0.006788473911652521,0.09486379146949747,0.02004307386250578
fc5ab53d-376c-495d-8c48-3baf8ecfc6ed,Ava Flynn,ava_flynn@gmail.com,17,1st year,M,Universitat de Lleida (UDL),None,"{'HTML/CSS': 4, 'SQL': 1}",Beginner,1,"['E-commerce/Retail', 'Lifehacks', 'Quantum']",Don't know,"['Restb.ai Challenge', 'Mango Challenge', 'AED Challenge']",['English'],[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.009625519509674857,0.04011563589123936,0.07670023793291032,0.01938243295629665
f257011d-9eab-4622-adda-02392f0fa8ca,Mariona Wells,mariona_wells@gmail.com,20,3rd year,M,Universitat Politècnica de Catalunya (UPC),None,"{'AWS/Azure/GCP': 3, 'React': 3, 'SQL': 2, 'Python': 6}",Intermediate,5,"['Lifehacks', 'Design', 'Web', 'Gaming']",Don't know,"['Restb.ai Challenge', 'AED Challenge', 'Mango Challenge']","['English', 'Catalan']",[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': False, 'Sunday morning': True, 'Sunday afternoon': True}",0.012716473908217172,0.02200333385318151,0.06819072059224657,0.021611274887858935
57fffc51-bcc8-4c36-afbe-795295e4a009,Alejandro Vicens Rodríguez,alejandro_vicens_rodrguez@gmail.com,20,3rd year,XL,Universitat Ramon Llull (URL),None,"{'Git': 3, 'Rust': 4, 'Figma': 2, 'Natural Language Processing': 2, 'Python': 2, 'Data Analysis': 4, 'iOS Development': 4}",Intermediate,1,"['Health', 'DevOps', 'Mobile', 'Machine Learning/AI', 'Education', 'E-commerce/Retail']",Design,"['AED Challenge', 'Restb.ai Challenge', 'Mango Challenge']","['English', 'Catalan', 'Spanish']",[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.05009945262722965,0.002738646238084157,0.0,0.01617179046353063
22df404a-20e7-40e9-a9ad-59a743dff09f,Sofía Elena Russell.,sofa_elena_russell.@gmail.com,18,2nd year,L,Universidad de Valencia,None,"{'IoT': 1, 'Rust': 4, 'TypeScript': 4}",Beginner,0,"['IoT', 'Mobile', 'Social Good', 'Fintech', 'Gaming', 'DevOps', 'Productivity', 'Web', 'AR/VR']",Design,"['AED Challenge', 'Restb.ai Challenge', 'Mango Challenge']","['English', 'Spanish']","['b6922470-df9d-4b64-84e6-6852f681f69c', '325e158b-bd36-48f6-9aea-cf55426808fb']",3,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.09027746064341442,0.035454285626250304,0.0,0.0
50ac00ab-42d5-40ae-a7da-ad69a687b7cb,Emily Ann Welles,emily_ann_welles@gmail.com,20,3rd year,S,Universitat Ramon Llull (URL),None,"{'Android Development': 4, 'JavaScript': 7, 'TypeScript': 7, 'Blockchain': 9, 'C++': 6, 'MongoDB': 5, 'Python': 4, 'AWS/Azure/GCP': 9, 'React': 9, 'HTML/CSS': 5, 'Git': 9}",Advanced,5,"['Music/Art', 'Blockchain', 'Design', 'Voice skills', 'Machine Learning/AI', 'Productivity']",Analysis,"['AED Challenge', 'Mango Challenge', 'Restb.ai Challenge']",['English'],[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.0,0.05459535688337144,0.0,0.01987396733124277
c987a232-e738-47c0-8e54-f6bfd9f2a16b,Sofia Miralbell,sofia_miralbell@gmail.com,19,2nd year,M,Universitat de Barcelona (UB),Vegetarian,"{'Computer Vision': 6, 'Rust': 5, 'Data Analysis': 2, 'MongoDB': 6, 'Go': 3, 'Python': 6, 'Agile Methodology': 5}",Intermediate,4,"['Fintech', 'Quantum', 'Lifehacks', 'Blockchain', 'Social Good', 'Databases', 'Enterprise', 'Productivity']",Development,"['AED Challenge', 'Restb.ai Challenge', 'Mango Challenge']","['English', 'Catalan']",[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.0162042022705653,0.0,0.0,0.03262960132217437
d968f665-4353-487e-9c71-520a23c808a0,Aurélia Windsor,aurlia_windsor@gmail.com,20,3rd year,L,CentraleSupélec,None,"{'Android Development': 4, 'Java': 2, 'Blockchain': 3, 'Go': 4, 'Agile Methodology': 4}",Intermediate,2,"['Social Good', 'IoT', 'Machine Learning/AI', 'AR/VR', 'Communication', 'Voice skills', 'Health']",Development,"['Mango Challenge', 'AED Challenge', 'Restb.ai Challenge']","['English', 'French']",[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.03286329012885181,0.03998867822213951,0.0,0.03927615347870739
2811f7b6-1730-4db2-9561-f0beeeb18620,Sofia Rodriguez,sofia_rodriguez@gmail.com,21,4th year,XL,Universidad de Valencia,None,"{'iOS Development': 8, 'Flutter': 8, 'Git': 8, 'TypeScript': 6, 'Android Development': 7, 'TensorFlow': 8, 'React': 5, 'MongoDB': 5, 'Figma': 8, 'PostgreSQL': 9, 'JavaScript': 8, 'UI/UX Design': 5, 'IoT': 6}",Advanced,4,"['Mobile', 'Blockchain', 'Social Good']",Development,"['AED Challenge', 'Mango Challenge', 'Restb.ai Challenge']","['English', 'Spanish']",[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.039408658044345415,0.017572511311394253,0.0,0.06210872884748786
f77aaea7-6e9e-4fac-b919-cdddd1c11c14,Aurèlia Fleur Morelli,aurlia_fleur_morelli@gmail.com,21,3rd year,M,Universitat de Lleida (UDL),None,"{'iOS Development': 3, 'Docker': 3, 'Rust': 7, 'Flask': 3, 'JavaScript': 3, 'React Native': 3, 'Flutter': 7, 'TypeScript': 5, 'SQL': 5, 'Data Analysis': 9, 'C++': 9}",Advanced,7,"['Machine Learning/AI', 'Web', 'Blockchain']",Development,"['Restb.ai Challenge', 'Mango Challenge', 'AED Challenge']","['Catalan', 'French', 'Italian']",[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.01314596844800154,0.030313320953117225,0.0,0.022341188276515878
553ec5f7-34b6-4926-93de-c6f71f9b39b7,Aurora Isabella,aurora_isabella@gmail.com,18,2nd year,M,Universidad Complutense de Madrid,Vegan,"{'TensorFlow': 5, 'MongoDB': 2, 'iOS Development': 6, 'React Native': 3, 'IoT': 6, 'Machine Learning': 7, 'Blockchain': 4, 'Go': 4, 'Android Development': 4}",Intermediate,5,"['Education', 'E-commerce/Retail', 'AR/VR', 'Blockchain', 'Web', 'Mobile', 'DevOps']",Don't know,"['Restb.ai Challenge', 'Mango Challenge', 'AED Challenge']","['English', 'Spanish']",[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.0,0.01357639845886764,0.0,0.020042262859021075
45652493-3559-4233-9b9c-23010dc7f814,Anna María Garcia,anna_mara_garcia@gmail.com,18,2nd year,M,Universitat de Barcelona (UB),None,"{'iOS Development': 7, 'Figma': 6, 'PyTorch': 3, 'Android Development': 7, 'Flutter': 6, 'Natural Language Processing': 7, 'AWS/Azure/GCP': 4, 'IoT': 4}",Intermediate,1,"['Fintech', 'Databases', 'Cybersecurity', 'Lifehacks', 'Quantum', 'Design', 'DevOps', 'Voice skills']",Visualization,"['AED Challenge', 'Mango Challenge', 'Restb.ai Challenge']","['English', 'Catalan']",[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.010909737726416938,0.015737307778759303,0.0,0.0
662230f0-a069-402e-8270-5e7bce63718d,Emma Winters,emma_winters@gmail.com,20,3rd year,L,Universitat Internacional de Catalunya (UIC),Vegan,"{'Agile Methodology': 4, 'Computer Vision': 6, 'Git': 4, 'SQL': 2, 'Rust': 7, 'Figma': 5, 'Java': 4, 'Data Analysis': 6, 'React Native': 2}",Intermediate,5,"['Design', 'Social Good', 'Blockchain', 'Productivity']",Development,"['Mango Challenge', 'AED Challenge', 'Restb.ai Challenge']",['English'],[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.01075624972413428,0.052163994886728085,0.0,0.0
9e3dec53-3ad8-41b8-a045-6af0fe28b9f7,Aurélien Langdon,aurlien_langdon@gmail.com,21,3rd year,M,École Polytechnique,None,"{'Rust': 5, 'Android Development': 6, 'iOS Development': 3, 'Natural Language Processing': 5, 'Agile Methodology': 3, 'AWS/Azure/GCP': 5, 'TypeScript': 2}",Intermediate,4,"['Blockchain', 'Design', 'AR/VR', 'Social Good', 'Robotic Process Automation', 'Machine Learning/AI', 'Cybersecurity', 'E-commerce/Retail', 'Web']",Development,"['Mango Challenge', 'AED Challenge', 'Restb.ai Challenge']","['English', 'French']",[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': False, 'Sunday afternoon': True}",0.03665975157941541,0.0,0.0,0.0
e1e56330-6555-41ca-8028-18d751ce7f63,Emily Wilson,emily_wilson@gmail.com,21,4th year,M,Universitat Ramon Llull (URL),Vegan,"{'Machine Learning': 9, 'Flutter': 3, 'iOS Development': 5, 'Python': 6, 'PyTorch': 6, 'Blockchain': 7, 'UI/UX Design': 8, 'SQL': 5, 'IoT': 5, 'HTML/CSS': 3}",Advanced,8,"['Fintech', 'Communication', 'Design', 'Robotic Process Automation', 'E-commerce/Retail', 'Machine Learning/AI', 'Databases', 'Lifehacks', 'Education']",Visualization,"['AED Challenge', 'Restb.ai Challenge', 'Mango Challenge']",['English'],[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.010024449278556802,0.003418396737368651,0.039852752696839584,0.0
867ef49e-3fe3-4818-a3ce-b397615ec31a,Avery Rae Thompson,avery_rae_thompson@gmail.com,21,4th year,S,Universitat de Barcelona (UB),None,"{'PostgreSQL': 9, 'SQL': 9, 'PyTorch': 5, 'Flutter': 9, 'Docker': 3, 'iOS Development': 9, 'Java': 4, 'Android Development': 7, 'Python': 8, 'HTML/CSS': 3}",Advanced,6,"['Databases', 'Quantum', 'IoT', 'Enterprise']",Development,"['Restb.ai Challenge', 'Mango Challenge', 'AED Challenge']",['English'],[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.03744737349714095,0.0024378197688488578,0.0,0.0
d1c120a3-498a-4a25-8928-f1128e31710d,Ling Wong,ling_wong@gmail.com,20,3rd year,S,Universitat Pompeu Fabra (UPF),Vegetarian,"{'Natural Language Processing': 4, 'Android Development': 5, 'iOS Development': 7, 'IoT': 5, 'Java': 4, 'React': 2, 'Go': 7, 'Blockchain': 5}",Intermediate,5,"['E-commerce/Retail', 'DevOps', 'Gaming', 'Machine Learning/AI', 'Productivity']",Development,"['Restb.ai Challenge', 'AED Challenge', 'Mango Challenge']",[],[],4,"{'Saturday morning': False, 'Saturday afternoon': False, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.09702132362556774,0.0,0.0,0.0
d4d98f7a-d956-4ef5-ab2c-aed24b35a045,Alexander Ryder,alexander_ryder@gmail.com,22,4th year,M,Universitat Pompeu Fabra (UPF),Other,"{'Android Development': 2, 'UI/UX Design': 2, 'Blockchain': 7, 'MongoDB': 7, 'JavaScript': 6, 'Rust': 6, 'Docker': 6}",Intermediate,5,"['Design', 'Mobile', 'Web']",Visualization,"['Mango Challenge', 'Restb.ai Challenge', 'AED Challenge']",['English'],[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.008434187356150483,0.0028761079775518144,0.05358857989332023,0.0
93cce408-4899-4667-ac4d-bc5dd6281e3c,Aurora Englishesi,aurora_englishesi@gmail.com,21,3rd year,S,Sapienza University of Rome,None,"{'Android Development': 5, 'C++': 4, 'HTML/CSS': 7, 'TensorFlow': 2, 'PostgreSQL': 7, 'React Native': 6}",Intermediate,5,"['Music/Art', 'Databases', 'Enterprise', 'Gaming', 'DevOps']",Visualization,"['Restb.ai Challenge', 'AED Challenge', 'Mango Challenge']","['English', 'Italian']",[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.020884188224120373,0.036135942169555915,0.0,0.0
2647ff5e-eb6b-4b6c-8531-08cc5587ca68,Sofía Leonhart,sofa_leonhart@gmail.com,20,3rd year,M,Universidad de Sevilla,Vegetarian,"{'PyTorch': 6, 'iOS Development': 5, 'Agile Methodology': 7, 'Data Visualization': 3, 'MongoDB': 7, 'TensorFlow': 7, 'SQL ': 2}",Intermediate,4,"['Mobile', 'Gaming', 'Enterprise', 'IoT', 'Machine Learning/AI']",Design,"['Restb.ai Challenge', 'AED Challenge', 'Mango Challenge']","['Spanish', 'French', 'German', 'Portuguese']",[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.03372342975943924,0.04786070258441582,0.0,0.04030413868687166
59fd3f1c-c5ef-4bb5-9e68-102f1f7f139b,Livia Maria Lluís,livia_maria_llus@gmail.com,18,2nd year,M,Universitat Internacional de Catalunya (UIC),Other,"{'UI/UX Design': 4, 'Data Analysis': 6, 'React Native': 2, 'PostgreSQL': 4, 'IoT': 4}",Intermediate,2,"['Music/Art', 'Design', 'Fintech', 'Machine Learning/AI', 'Quantum', 'Cybersecurity']",Analysis,"['AED Challenge', 'Mango Challenge', 'Restb.ai Challenge']","['English', 'Catalan', 'Spanish', 'French']",[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': False}",0.04211502713511206,0.025158544778053692,0.0,0.0
e05c2a54-1e26-4cef-b6f2-1bd03c5ad6f2,Ana Cláudia Santos Costa,ana_cludia_santos_costa@outlook.com,20,2nd year,M,University of Porto,Other,"{'Android Development': 2, 'TypeScript': 4, 'iOS Development': 6, 'Python': 6, 'React Native': 7}",Intermediate,2,"['Fintech', 'Communication', 'Machine Learning/AI', 'Mobile', 'E-commerce/Retail', 'Databases']",Analysis,"['AED Challenge', 'Mango Challenge', 'Restb.ai Challenge']",['Portuguese'],[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.06219019009613671,0.028306003904920243,0.0,0.0
0d017b4c-ad3e-42c3-996a-fb666a0c6066,Sofia Rosell Torrente,sofia_rosell_torrente@gmail.com,21,3rd year,L,Universitat de Barcelona (UB),None,"{'C++': 4, 'Java': 5, 'Data Visualization': 2, 'UI/UX Design': 3, 'JavaScript': 3}",Intermediate,2,"['Quantum', 'Fintech', 'Databases']",Design,"['AED Challenge', 'Restb.ai Challenge', 'Mango Challenge']","['English', 'Catalan', 'Spanish']",[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.0,0.004578606218503081,0.0,0.0
52962082-92f1-42a2-91e0-6a2f1d320739,Gisella Ricciardo,gisella_ricciardo@gmail.com,24,Masters,M,Universitat de Barcelona (UB),Vegan,"{'C++': 7, 'SQL': 3, 'Blockchain': 8, 'iOS Development': 3, 'Agile Methodology': 8, 'Git': 7, 'Java': 8, 'Figma': 5, 'PostgreSQL': 8, 'UI/UX Design': 8, 'Flutter': 9, 'Machine Learning': 7}",Advanced,9,"['Gaming', 'Machine Learning/AI', 'AR/VR', 'Fintech', 'E-commerce/Retail', 'IoT', 'Quantum', 'Lifehacks', 'Productivity']",Development,"['Restb.ai Challenge', 'Mango Challenge', 'AED Challenge']","['Catalan', 'Spanish', 'Italian']",[],4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.012514470200884479,0.021653806535774013,0.0,0.0
57853d67-cc16-4168-8a06-6ac01544d9d0,Lena Braunstein Martín.,lena_braunstein_martn.@outlook.com,20,2nd year,M,Universitat Pompeu Fabra (UPF),None,"{'AWS/Azure/GCP': 5, 'Python': 7, 'Android Development': 2, 'Blockchain': 5, 'IoT': 3, 'Computer Vision': 6, 'Java': 2}",Intermediate,2,"['Lifehacks', 'Health', 'E-commerce/Retail', 'Cybersecurity']",Development,"['AED Challenge', 'Mango Challenge', 'Restb.ai Challenge']","['English', 'Catalan', 'German', 'Portuguese']","['cbbd8e4f-11b4-4465-8772-9855c1f87164', 'fcee953a-30c6-475a-b65c-ec49223281e9']",4,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.0,0.0055057184041651394,0.03209370515438343,0.0
37d82483-40ed-4204-9ef3-31b2dc51615d,Caterina Sureda,caterina_sureda@gmail.com,21,3rd year,M,Abat Oliba CEU,None,"{'AWS/Azure/GCP': 5, 'Python': 4, 'Android Development': 3, 'Agile Methodology': 7, 'UI/UX Design': 4, 'Go': 2, 'Flutter': 6}",Intermediate,1,"['Gaming', 'Voice skills', 'Communication', 'Education', 'Design', 'Music/Art', 'Cybersecurity']",Design,"['Restb.ai Challenge', 'AED Challenge', 'Mango Challenge']","['English', 'Catalan']",[],4,"{'Saturday morning': True, 'Saturday afternoon': False, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.0,0.004366900360926416,0.0,0.0
63fd3a14-22e1-4ede-a2b1-0af6a5b21aff,Lluís Ferrante,llus_ferrante@yahoo.com,20,2nd year,M,Universitat de Barcelona (UB),None,"{'Flask': 5, 'Java': 3, 'MongoDB': 6, 'HTML/CSS': 6, 'TensorFlow': 4}",Intermediate,5,"['Health', 'Enterprise', 'Blockchain', 'Education', 'Machine Learning/AI', 'Quantum']",Visualization,"['AED Challenge', 'Mango Challenge', 'Restb.ai Challenge']","['Catalan', 'Spanish', 'Italian']",[],3,"{'Saturday morning': True, 'Saturday afternoon': True, 'Saturday night': True, 'Sunday morning': True, 'Sunday afternoon': True}",0.008419039104290238,0.008612827001114274,0.0,0.0
